"strain" "sex" "age" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"1" "C57BL6/J" "Female" 43 80 29 22 7 29
"2" "C57BL6/J" "Female" 43 62 24 25 2 34
"3" "C57BL6/J" "Male" 43 111 33 20 7 58
"4" "C57BL6/J" "Male" 43 141 27 58 5 196
"5" "C57BL6/J" "Male" 43 23 6 9 1 25
"6" "C57BL6/J" "Female" 71 173 46 28 13 74
"7" "C57BL6/J" "Male" 71 161 52 31 8 139
"8" "C57BL6/J" "Female" 32 77 29 31 3 26
"9" "C57BL6/J" "Female" 32 112 28 45 24 105
"10" "C57BL6/J" "Male" 32 50 9 26 4 44
"11" "C57BL6/J" "Male" 32 56 11 43 23 83
"12" "C57BL6/J" "Female" 20 20 7 22 3 24
"13" "C57BL6/J" "Female" 20 76 7 59 17 13
"14" "C57BL6/J" "Male" 20 125 3 92 7 95
"15" "C57BL6/J" "Male" 20 33 3 63 1 62
"16" "C57BL6/J" "Female" 24 1 0 0 0 1
"17" "C57BL6/J" "Male" 24 52 5 48 1 74
"18" "C57BL6/J" "Male" 24 55 24 53 18 49
"19" "C57BL6/J" "Male" 24 117 10 72 2 153
"20" "C57BL6/J" "Female" 71 4 1 1 0 1
"21" "C57BL6/J" "Female" 71 114 43 20 8 56
"22" "C57BL6/J" "Male" 71 110 24 20 10 56
"23" "C57BL6/J" "Male" 71 84 28 43 17 95
"24" "C57BL6/J" "Female" 43 87 0 17 8 44
"25" "C57BL6/J" "Female" 43 120 44 122 35 120
"26" "C57BL6/J" "Male" 43 65 27 14 3 26
"27" "C57BL6/J" "Male" 43 46 7 12 3 59
"28" "C57BL6/J" "Female" 43 152 39 1 3 0
"29" "C57BL6/J" "Female" 43 117 36 0 1 14
"30" "C57BL6/J" "Male" 43 62 28 5 0 1
"31" "C57BL6/J" "Male" 43 52 14 10 2 3
"32" "C57BL6/J" "Female" 24 15 10 6 12 36
"33" "C57BL6/J" "Female" 24 0 5 15 5 40
"34" "C57BL6/J" "Male" 24 46 9 79 7 108
"35" "C57BL6/J" "Male" 24 75 14 66 6 190
"36" "C57BL6/J" "Female" 71 36 9 1 1 1
"37" "C57BL6/J" "Female" 71 111 25 2 0 14
"38" "C57BL6/J" "Male" 71 64 24 3 3 11
"39" "C57BL6/J" "Female" 32 59 14 40 7 76
"40" "C57BL6/J" "Female" 32 122 23 36 15 189
"41" "C57BL6/J" "Male" 32 96 24 35 13 101
"42" "C57BL6/J" "Male" 32 100 29 52 9 154
"43" "C57BL6/J" "Male" 32 69 27 19 15 71
"44" "C57BL6/J" "Male" 32 125 13 30 13 180
"45" "C57BL6/J" "Female" 20 144 23 43 14 126
"46" "C57BL6/J" "Female" 20 44 0 16 0 63
"47" "C57BL6/J" "Male" 20 34 7 31 6 85
"48" "C57BL6/J" "Male" 20 78 5 95 7 129
"49" "C57BL6/J" "Female" 32 80 25 35 8 50
"50" "C57BL6/J" "Male" 32 55 18 31 6 66
"51" "C57BL6/J" "Male" 32 116 17 70 7 77
"52" "C57BL6/J" "Female" 71 65 16 33 6 40
"53" "C57BL6/J" "Female" 71 129 45 37 14 72
"54" "C57BL6/J" "Male" 71 42 11 17 2 32
"55" "C57BL6/J" "Female" 32 43 9 32 5 32
"56" "C57BL6/J" "Female" 32 115 27 50 11 32
"57" "C57BL6/J" "Male" 32 95 17 50 11 140
"58" "C57BL6/J" "Male" 32 114 33 34 15 76
"59" "C57BL6/J" "Female" 24 82 20 25 38 107
"60" "C57BL6/J" "Female" 24 71 3 41 0 129
"61" "C57BL6/J" "Male" 24 88 7 70 7 68
"62" "C57BL6/J" "Male" 24 100 12 49 3 134
"63" "C57BL6/J" "Female" 32 151 29 34 6 116
"64" "C57BL6/J" "Female" 32 92 26 39 4 56
"65" "C57BL6/J" "Male" 32 81 21 38 14 65
"66" "C57BL6/J" "Male" 32 173 40 61 7 143
"67" "C57BL6/J" "Female" 20 57 3 16 0 67
"68" "C57BL6/J" "Female" 20 36 8 15 5 50
"69" "C57BL6/J" "Male" 20 21 0 21 0 45
"70" "C57BL6/J" "Female" 43 127 55 0 7 4
"71" "C57BL6/J" "Female" 43 57 14 3 2 7
"72" "C57BL6/J" "Male" 43 116 63 11 5 9
"73" "C57BL6/J" "Male" 43 60 15 10 1 9
"74" "C57BL6/J" "Male" 43 65 16 14 2 78
"75" "C57BL6/J" "Female" 32 57 14 19 4 41
"76" "C57BL6/J" "Female" 32 120 26 47 8 122
"77" "C57BL6/J" "Male" 32 87 16 28 5 115
"78" "C57BL6/J" "Male" 32 68 10 40 7 58
"79" "C57BL6/J" "Female" 32 58 5 3 0 17
"80" "C57BL6/J" "Female" 32 96 27 5 2 9
"81" "C57BL6/J" "Male" 32 56 11 2 0 7
"82" "C57BL6/J" "Male" 32 106 32 8 0 47
"83" "C57BL6/J" "Female" 20 125 1 1 0 37
"84" "C57BL6/J" "Female" 20 42 1 2 0 4
"85" "C57BL6/J" "Male" 20 61 6 1 0 0
"86" "C57BL6/J" "Male" 20 54 10 0 0 1
"87" "C57BL6/J" "Female" 71 123 38 13 6 67
"88" "C57BL6/J" "Female" 71 134 36 45 15 64
"89" "C57BL6/J" "Male" 71 96 29 21 4 79
"90" "C57BL6/J" "Female" 71 109 33 34 23 63
"91" "C57BL6/J" "Female" 71 65 17 33 3 65
"92" "C57BL6/J" "Male" 71 122 32 41 10 119
"93" "C57BL6/J" "Male" 71 67 18 18 1 59
"94" "C57BL6/J" "Female" 20 39 2 32 1 42
"95" "C57BL6/J" "Female" 20 15 5 4 5 41
"96" "C57BL6/J" "Male" 20 91 11 27 1 132
"97" "C57BL6/J" "Male" 20 49 2 28 0 133
"98" "C57BL6/J" "Female" 24 122 0 21 0 96
"99" "C57BL6/J" "Female" 24 56 13 28 8 78
"100" "C57BL6/J" "Male" 24 82 5 45 5 134
"101" "C57BL6/J" "Male" 24 48 16 21 9 85
"102" "C57BL6/J" "Female" 32 38 5 20 1 101
"103" "C57BL6/J" "Female" 32 49 22 47 11 0
"104" "C57BL6/J" "Male" 32 112 4 113 0 110
"105" "C57BL6/J" "Male" 32 14 0 7 0 31
"106" "C57BL6/J" "Female" 20 62 14 20 9 80
"107" "C57BL6/J" "Female" 20 39 12 29 11 108
"108" "C57BL6/J" "Female" 20 71 8 123 5 140
"109" "C57BL6/J" "Male" 20 88 0 118 0 210
"110" "C57BL6/J" "Female" 24 60 5 22 0 98
"111" "C57BL6/J" "Female" 24 28 2 21 1 40
"112" "C57BL6/J" "Male" 24 68 12 55 11 107
"113" "C57BL6/J" "Male" 24 25 1 19 0 19
"114" "C57BL6/J" "Female" 32 63 16 38 16 84
"115" "C57BL6/J" "Female" 32 127 26 63 0 115
"116" "C57BL6/J" "Male" 32 73 8 43 13 156
"117" "C57BL6/J" "Female" 71 139 44 28 6 36
"118" "C57BL6/J" "Female" 71 91 36 30 8 118
"119" "C57BL6/J" "Male" 71 147 39 42 4 134
"120" "C57BL6/J" "Female" 24 43 15 36 9 77
"121" "C57BL6/J" "Female" 24 43 7 35 3 48
"122" "C57BL6/J" "Male" 24 49 5 63 0 90
"123" "C57BL6/J" "Male" 43 110 40 48 11 136
"124" "Balb/cJ" "Female" 43 84 29 47 21 65
"125" "Balb/cJ" "Female" 43 121 27 41 32 101
"126" "Balb/cJ" "Female" 71 84 19 54 17 71
"127" "Balb/cJ" "Female" 71 94 26 54 13 73
"128" "Balb/cJ" "Male" 71 32 13 15 6 22
"129" "Balb/cJ" "Male" 71 65 25 45 15 30
"130" "Balb/cJ" "Male" 32 100 25 72 20 38
"131" "Balb/cJ" "Male" 32 55 7 33 9 9
"132" "Balb/cJ" "Male" 32 90 23 33 1 30
"133" "Balb/cJ" "Male" 32 57 13 41 1 56
"134" "Balb/cJ" "Male" 20 77 23 34 1 10
"135" "Balb/cJ" "Male" 20 26 6 3 0 46
"136" "Balb/cJ" "Female" 24 56 8 35 7 70
"137" "Balb/cJ" "Female" 24 102 16 59 5 74
"138" "Balb/cJ" "Male" 24 46 5 30 10 10
"139" "Balb/cJ" "Male" 24 78 21 57 9 112
"140" "Balb/cJ" "Female" 71 98 34 29 9 12
"141" "Balb/cJ" "Female" 71 126 60 48 22 24
"142" "Balb/cJ" "Male" 71 112 33 57 28 125
"143" "Balb/cJ" "Female" 43 43 13 2 1 0
"144" "Balb/cJ" "Male" 43 67 23 3 6 13
"145" "Balb/cJ" "Male" 43 98 40 0 3 8
"146" "Balb/cJ" "Female" 32 33 10 34 9 26
"147" "Balb/cJ" "Female" 32 77 17 38 8 65
"148" "Balb/cJ" "Male" 32 126 23 72 7 121
"149" "Balb/cJ" "Male" 32 22 5 9 5 1
"150" "Balb/cJ" "Male" 32 71 5 27 6 0
"151" "Balb/cJ" "Male" 32 0 32 104 18 76
"152" "Balb/cJ" "Female" 24 58 5 21 16 87
"153" "Balb/cJ" "Female" 24 84 5 32 0 161
"154" "Balb/cJ" "Male" 24 39 9 16 6 13
"155" "Balb/cJ" "Male" 24 86 25 37 7 16
"156" "Balb/cJ" "Female" 71 85 30 70 5 62
"157" "Balb/cJ" "Female" 71 189 89 132 50 94
"158" "Balb/cJ" "Male" 71 137 36 44 8 135
"159" "Balb/cJ" "Male" 71 126 47 96 21 126
"160" "Balb/cJ" "Female" 32 91 28 63 26 60
"161" "Balb/cJ" "Male" 32 61 17 33 11 37
"162" "Balb/cJ" "Male" 32 89 22 35 19 120
"163" "Balb/cJ" "Female" 20 70 3 29 0 1
"164" "Balb/cJ" "Female" 20 17 1 9 1 17
"165" "Balb/cJ" "Male" 20 21 2 29 0 3
"166" "Balb/cJ" "Female" 71 103 36 33 12 96
"167" "Balb/cJ" "Female" 71 37 10 15 4 12
"168" "Balb/cJ" "Male" 71 115 29 32 12 24
"169" "Balb/cJ" "Male" 71 53 15 27 9 34
"170" "Balb/cJ" "Female" 32 213 59 4 2 2
"171" "Balb/cJ" "Female" 32 116 39 0 0 0
"172" "Balb/cJ" "Male" 24 160 38 30 3 131
"173" "Balb/cJ" "Male" 24 67 19 18 5 51
"174" "Balb/cJ" "Male" 24 26 6 3 8 50
"175" "Balb/cJ" "Male" 24 84 18 12 20 113
"176" "Balb/cJ" "Male" 20 6 1 1 0 3
"177" "Balb/cJ" "Male" 20 103 7 36 0 168
"178" "Balb/cJ" "Male" 20 29 5 8 2 15
"179" "Balb/cJ" "Male" 20 36 3 13 1 3
"180" "Balb/cJ" "Male" 43 129 56 76 20 124
"181" "Balb/cJ" "Male" 43 116 41 89 14 176
"182" "Balb/cJ" "Female" 32 40 13 5 4 3
"183" "Balb/cJ" "Female" 32 112 31 7 0 0
"184" "Balb/cJ" "Male" 32 6 1 0 0 0
"185" "Balb/cJ" "Male" 32 99 30 6 5 15
"186" "Balb/cJ" "Female" 43 55 24 46 12 40
"187" "Balb/cJ" "Female" 43 42 10 20 1 10
"188" "Balb/cJ" "Female" 71 179 69 101 28 94
"189" "Balb/cJ" "Female" 71 19 6 10 2 20
"190" "Balb/cJ" "Male" 71 135 55 71 17 104
